iter	Passed	Remaining
399	39896	259326
400	39986	259163
401	40073	258982
402	40172	258877
403	40272	258778
404	40362	258621
405	40458	258493
406	40551	258352
407	40642	258202
408	40744	258112
409	40835	257959
410	40930	257835
411	41019	257665
412	41112	257524
413	41207	257400
414	41302	257270
415	41395	257127
416	41489	256998
417	41583	256860
418	41673	256703
419	41763	256546
420	41855	256401
421	41948	256262
422	42046	256155
423	42141	256030
424	42237	255907
425	42345	255859
426	42434	255702
427	42528	255570
428	42616	255398
429	42712	255280
430	42805	255146
431	42900	255020
432	42993	254883
433	43080	254710
434	43177	254598
435	43280	254518
436	43365	254337
437	43462	254226
438	43551	254069
439	43644	253931
440	43732	253767
441	43824	253628
442	43908	253442
443	43996	253279
444	44087	253134
445	44175	252966
446	44271	252855
447	44375	252781
448	44468	252646
449	44564	252530
450	44648	252350
451	44743	252226
452	44825	252033
453	44912	251867
454	45005	251736
455	45097	251596
456	45187	251449
457	45287	251353
458	45383	251241
459	45474	251096
460	45562	250940
461	45645	250753
462	45742	250647
463	45828	250474
464	45917	250322
465	46007	250177
466	46099	250045
467	46191	249910
468	46291	249818
469	46380	249667
470	46479	249570
471	46572	249438
472	46664	249307
473	46770	249246
474	46860	249100
475	46950	248956
476	47045	248837
477	47142	248731
478	47232	248584
479	47332	248496
480	47432	248401
481	47525	248277
482	47615	248131
483	47698	247955
484	47792	247829
485	47883	247692
486	47970	247537
487	48055	247366
488	48143	247215
489	48236	247087
490	48326	246946
491	48426	246854
492	48516	246713
493	48608	246587
494	48705	246480
495	48798	246354
496	48886	246205
497	48983	246096
498	49075	245965
499	49169	245847
500	49265	245739
501	49364	245642
502	49452	245494
503	49546	245371
504	49641	245260
505	49740	245162
506	49830	245024
507	49920	244883
508	50007	244734
509	50097	244595
510	50193	244483
511	50286	244363
512	50389	244286
513	50480	244154
514	50581	244066
515	50666	243903
516	50762	243799
517	50859	243693
518	50950	243562
519	51046	243450
520	51140	243334
521	51227	243185
522	51320	243063
523	51422	242979
524	51509	242829
525	51601	242704
526	51691	242567
527	51778	242415
528	51867	242275
529	51955	242133
530	52044	241993
531	52136	241866
532	52239	241790
533	52325	241636
534	52421	241529
535	52513	241407
536	52602	241264
537	52698	241157
538	52790	241035
539	52884	240918
540	52977	240797
541	53074	240695
542	53164	240559
543	53262	240466
544	53358	240358
545	53450	240234
546	53550	240144
547	53639	240008
548	53735	239902
549	53831	239795
550	53927	239687
551	54021	239572
552	54135	239545
553	54231	239441
554	54327	239335
555	54424	239234
556	54519	239120
557	54605	238973
558	54685	238795
559	54780	238686
560	54872	238561
561	54970	238468
562	55062	238345
563	55159	238243
564	55249	238110
565	55351	238031
566	55439	237889
567	55535	237785
568	55624	237650
569	55716	237527
570	55809	237408
571	55904	237300
572	55999	237190
573	56090	237065
574	56187	236963
575	56272	236812
576	56369	236711
577	56463	236599
578	56554	236473
579	56646	236351
580	56739	236237
581	56827	236099
582	56912	235947
583	57003	235823
584	57097	235710
585	57192	235603
586	57292	235514
587	57384	235391
588	57471	235253
589	57564	235136
590	57656	235017
591	57747	234891
592	57837	234762
593	57927	234634
594	58016	234502
595	58102	234359
596	58198	234254
597	58296	234162
598	58389	234045
599	58487	233948
600	58586	233860
601	58668	233699
602	58760	233579
603	58844	233431
604	58929	233284
605	59023	233171
606	59114	233050
607	59202	232914
608	59293	232794
609	59398	232724
610	59496	232631
611	59594	232533
612	59685	232413
613	59776	232292
614	59865	232161
615	59957	232042
616	60050	231929
617	60134	231780
618	60229	231674
619	60319	231548
620	60414	231442
621	60513	231352
622	60597	231204
623	60693	231102
624	60783	230976
625	60880	230879
626	60973	230767
627	61062	230636
628	61154	230519
629	61244	230395
630	61332	230262
631	61423	230144
632	61521	230048
633	61619	229954
634	61709	229831
635	61795	229693
636	61884	229566
637	61968	229417
638	62061	229305
639	62149	229177
640	62242	229064
641	62339	228967
642	62435	228866
643	62523	228736
644	62609	228597
645	62710	228513
646	62806	228412
647	62905	228324
648	63005	228236
649	63097	228123
650	63190	228011
651	63288	227916
652	63383	227813
653	63474	227694
654	63563	227568
655	63657	227459
